Volatility 3 Framework 2.27.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created
0x3ea3c940	UDPv6	::	49195	*	0		1372	svchost.exe	2019-12-11 13:41:58.000000 UTC
0x3ea4a670	TCPv4	0.0.0.0	49156	0.0.0.0	0	LISTENING	484	services.exe	-
0x3ea4a670	TCPv6	::	49156	::	0	LISTENING	484	services.exe	-
0x3ea536b0	TCPv4	0.0.0.0	49156	0.0.0.0	0	LISTENING	484	services.exe	-
0x3ea5a640	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	-
0x3ea5a640	TCPv6	::	445	::	0	LISTENING	4	System	-
0x3ea5d010	UDPv4	0.0.0.0	0	*	0		1044	svchost.exe	2019-12-11 13:42:02.000000 UTC
0x3ea5d010	UDPv6	::	0	*	0		1044	svchost.exe	2019-12-11 13:42:02.000000 UTC
0x3eaab540	UDPv4	0.0.0.0	5355	*	0		1044	svchost.exe	2019-12-11 13:42:05.000000 UTC
0x3eaab540	UDPv6	::	5355	*	0		1044	svchost.exe	2019-12-11 13:42:05.000000 UTC
0x3eaaece0	UDPv4	10.0.2.15	137	*	0		4	System	2019-12-11 13:42:02.000000 UTC
0x3eac7760	TCPv4	0.0.0.0	3587	0.0.0.0	0	LISTENING	2368	svchost.exe	-
0x3eac7760	TCPv6	::	3587	::	0	LISTENING	2368	svchost.exe	-
0x3ebfe300	UDPv4	0.0.0.0	3702	*	0		472	svchost.exe	2019-12-11 14:32:50.000000 UTC
0x3ebfeb00	UDPv4	0.0.0.0	59435	*	0		472	svchost.exe	2019-12-11 14:32:50.000000 UTC
0x3ebff1a0	UDPv4	0.0.0.0	3702	*	0		472	svchost.exe	2019-12-11 14:32:50.000000 UTC
0x3ebff9b0	UDPv4	0.0.0.0	59436	*	0		472	svchost.exe	2019-12-11 14:32:50.000000 UTC
0x3ebff9b0	UDPv6	::	59436	*	0		472	svchost.exe	2019-12-11 14:32:50.000000 UTC
0x3ec1e6b0	UDPv4	0.0.0.0	5004	*	0		1856	wmpnetwk.exe	2019-12-11 14:16:11.000000 UTC
0x3ec1ebb0	UDPv4	0.0.0.0	5004	*	0		1856	wmpnetwk.exe	2019-12-11 14:16:11.000000 UTC
0x3ec1ebb0	UDPv6	::	5004	*	0		1856	wmpnetwk.exe	2019-12-11 14:16:11.000000 UTC
0x3ec1f7c0	UDPv4	0.0.0.0	5005	*	0		1856	wmpnetwk.exe	2019-12-11 14:16:11.000000 UTC
0x3ec1f7c0	UDPv6	::	5005	*	0		1856	wmpnetwk.exe	2019-12-11 14:16:11.000000 UTC
